provider,integration_id,db_provider,record_type,status,token_present,token_decrypt_ok,asset_count,asset_ids,asset_names,endpoint_type,metric_name,measurable_key,display_name_en,display_name_es,category,catalog_status,status_code,availability_status,error_code,error_message,reason,missing,raw_available,sample_value,required_permissions,source_type,has_total,has_daily_series,total_key,daily_key,recommended_slide,is_primary,notes
facebook_pages,1,meta,facebook_page,connected,True,True,1,"[""fb-1""]","[""Botanero FB""]",insights_metric,page_impressions,page_impressions,Page Impressions,Impresiones de página,visibility,invalid_metric,,invalid_metric,,,Do not map this automatically. Meta rejects this metric in the current endpoint.,[],,,"[""read_insights""]",insights_metric,False,False,,,,False,Do not map this automatically. Meta rejects this metric in the current endpoint.
facebook_pages,1,meta,facebook_page,connected,True,True,1,"[""fb-1""]","[""Botanero FB""]",insights_metric,page_impressions_unique,page_reach_unique,Unique Reach,Alcance único,visibility,invalid_metric,,invalid_metric,,,Do not invent reach when Meta does not return a real reach metric.,[],,,"[""read_insights""]",insights_metric,False,False,,,,False,Do not invent reach when Meta does not return a real reach metric.
facebook_pages,1,meta,facebook_page,connected,True,True,1,"[""fb-1""]","[""Botanero FB""]",insights_metric,page_posts_impressions,post_impressions,Post Impressions,Impresiones de publicaciones,visibility,invalid_metric,,invalid_metric,,,Unsupported in the current product-ready endpoint. Never alias to reach.,[],,,"[""read_insights""]",insights_metric,False,False,,,,False,Unsupported in the current product-ready endpoint. Never alias to reach.
facebook_pages,1,meta,facebook_page,connected,True,True,1,"[""fb-1""]","[""Botanero FB""]",insights_metric,page_posts_impressions_unique,post_reach_unique,Unique Post Reach,Alcance único de publicaciones,visibility,invalid_metric,,invalid_metric,,,Unsupported in the current endpoint. Never backfill from impressions or views.,[],,,"[""read_insights""]",insights_metric,False,False,,,,False,Unsupported in the current endpoint. Never backfill from impressions or views.
facebook_pages,1,meta,facebook_page,connected,True,True,1,"[""fb-1""]","[""Botanero FB""]",insights_metric,page_fans,page_fans_legacy,Page Fans (Legacy),Fans de página (legado),audience,invalid_metric,,invalid_metric,,,Use fan_count field instead when available.,[],,,"[""read_insights""]",insights_metric,False,False,,,,False,Use fan_count field instead when available.
facebook_pages,1,meta,facebook_page,connected,True,True,1,"[""fb-1""]","[""Botanero FB""]",graph_field,published_posts,published_posts,Published Posts,Publicaciones publicadas,content,pending_permission,,pending_permission,,,Requires permissions: pages_read_user_content.,[],,,"[""pages_read_user_content""]",graph_field,True,False,posts_analyzed_count,,summary_content_metric,False,Requires additional Page content permissions.
facebook_pages,1,meta,facebook_page,connected,True,True,1,"[""fb-1""]","[""Botanero FB""]",derived,posts_analyzed,posts_analyzed,Posts Analyzed,Publicaciones analizadas,content,pending_permission,,pending_permission,,,Requires permissions: pages_read_user_content.,[],,,"[""pages_read_user_content""]",derived,True,False,posts_analyzed_count,,summary_content_metric,False,Blocked until post listing is available.
facebook_pages,1,meta,facebook_page,connected,True,True,1,"[""fb-1""]","[""Botanero FB""]",derived,top_posts,top_post_by_engagement,Top Posts,Mejores publicaciones,content,pending_permission,,pending_permission,,,Requires permissions: pages_read_user_content.,[],,,"[""pages_read_user_content""]",derived,False,False,,,summary_content_metric,False,Requires access to post-level content and engagement.
facebook_pages,1,meta,facebook_page,connected,True,True,1,"[""fb-1""]","[""Botanero FB""]",insights_metric,post_insights,post_insights,Post Insights,Insights de publicaciones,content,pending_permission,,pending_permission,,,Requires permissions: pages_read_user_content.,[],,,"[""pages_read_user_content""]",insights_metric,False,False,,,,False,Requires post access and post insights support.
facebook_pages,1,meta,facebook_page,connected,True,True,1,"[""fb-1""]","[""Botanero FB""]",graph_field,post_comments,comments,Comments,Comentarios,content,pending_permission,,pending_permission,,,Requires permissions: pages_read_user_content.,[],,,"[""pages_read_user_content""]",graph_field,True,False,comments_total,,summary_content_metric,False,Pending Page content permissions.
facebook_pages,1,meta,facebook_page,connected,True,True,1,"[""fb-1""]","[""Botanero FB""]",graph_field,post_shares,shares,Shares,Compartidos,content,pending_permission,,pending_permission,,,Requires permissions: pages_read_user_content.,[],,,"[""pages_read_user_content""]",graph_field,True,False,shares_total,,summary_content_metric,False,Pending Page content permissions.
facebook_pages,1,meta,facebook_page,connected,True,True,1,"[""fb-1""]","[""Botanero FB""]",graph_field,followers_count,followers,Followers,Seguidores,audience,available,200,available,,"{'followers_count': 321, 'fan_count': 123}",Followers is available and product-ready.,[],True,321,"[""pages_read_engagement""]",graph_field,True,False,followers_total,,summary_audience_metric,False,Audience size field from the Page node.
facebook_pages,1,meta,facebook_page,connected,True,True,1,"[""fb-1""]","[""Botanero FB""]",graph_field,fan_count,fans,Fans / Page Likes,Fans / Me gusta de la página,audience,available,200,available,,"{'followers_count': 321, 'fan_count': 123}",Fans / Page Likes is available and product-ready.,[],True,123,"[""pages_read_engagement""]",graph_field,True,False,fans_total,,summary_audience_metric,False,Use as Page Likes. Keep separate from followers.
facebook_pages,1,meta,facebook_page,connected,True,True,1,"[""fb-1""]","[""Botanero FB""]",insights_metric,page_posts_impressions_organic,organic_impressions,Organic Impressions,Impresiones orgánicas,visibility,available,200,available,,"{'data': [{'name': 'page_posts_impressions_organic', 'values': [{'value': 10187}]}]}",Organic Impressions is available and product-ready.,[],True,10187,"[""pages_read_engagement"", ""read_insights""]",insights_metric,True,True,organic_impressions_total,daily_organic_impressions,main_visibility_slide,True,Primary Facebook Pages visibility metric for V1 when unique reach is unavailable.
facebook_pages,1,meta,facebook_page,connected,True,True,1,"[""fb-1""]","[""Botanero FB""]",insights_metric,page_post_engagements,engagement,Engagement,Interacciones,engagement,available,400,invalid_metric,100,Invalid metric,Primary Facebook Pages engagement metric for V1.,[],False,[],"[""pages_read_engagement"", ""read_insights""]",insights_metric,True,True,engagement_total,daily_engagement,main_engagement_slide,True,Primary Facebook Pages engagement metric for V1.
facebook_pages,1,meta,facebook_page,connected,True,True,1,"[""fb-1""]","[""Botanero FB""]",insights_metric,page_views_total,page_views,Page Views,Visitas a la página,traffic,available,200,available,,"{'data': [{'name': 'page_views_total', 'values': [{'value': 42}]}]}",Page Views is available and product-ready.,[],True,42,"[""pages_read_engagement"", ""read_insights""]",insights_metric,True,True,page_views_total,daily_page_views,page_views_slide,True,Use only for page traffic. Never alias this as impressions.
facebook_pages,1,meta,facebook_page,connected,True,True,1,"[""fb-1""]","[""Botanero FB""]",insights_metric,page_actions_post_reactions_total,reactions,Reactions,Reacciones,engagement,available,403,missing_permission,10,Permissions error,Permission is missing for page_actions_post_reactions_total.,[],False,[],"[""pages_read_engagement"", ""read_insights""]",insights_metric,True,False,reactions_total,daily_reactions,summary_secondary_metric,False,Use as a secondary engagement indicator in summary surfaces.
instagram_business,,,instagram_account,missing,False,False,0,[],[],insights_metric,reach,instagram_reach,Reach,Alcance,visibility,pending_config,,config_missing,,,"Missing configuration for instagram_business: INSTAGRAM_APP_ID, INSTAGRAM_APP_SECRET, INSTAGRAM_REDIRECT_URI.","[""INSTAGRAM_APP_ID"", ""INSTAGRAM_APP_SECRET"", ""INSTAGRAM_REDIRECT_URI""]",,,"[""instagram_business_manage_insights""]",insights_metric,True,True,instagram_reach_total,daily_instagram_reach,main_visibility_slide,True,Mark as available only after a real Instagram Business audit returns data.
instagram_business,,,instagram_account,missing,False,False,0,[],[],insights_metric,views_or_impressions,instagram_views_or_impressions,Views / Impressions,Vistas / Impresiones,visibility,pending_config,,config_missing,,,"Missing configuration for instagram_business: INSTAGRAM_APP_ID, INSTAGRAM_APP_SECRET, INSTAGRAM_REDIRECT_URI.","[""INSTAGRAM_APP_ID"", ""INSTAGRAM_APP_SECRET"", ""INSTAGRAM_REDIRECT_URI""]",,,"[""instagram_business_manage_insights""]",insights_metric,True,True,instagram_views_or_impressions_total,daily_instagram_views_or_impressions,main_visibility_slide,False,Pick the exact real Instagram metric only after live audit confirmation.
instagram_business,,,instagram_account,missing,False,False,0,[],[],insights_metric,accounts_engaged,accounts_engaged,Accounts Engaged,Cuentas interactuando,engagement,pending_config,,config_missing,,,"Missing configuration for instagram_business: INSTAGRAM_APP_ID, INSTAGRAM_APP_SECRET, INSTAGRAM_REDIRECT_URI.","[""INSTAGRAM_APP_ID"", ""INSTAGRAM_APP_SECRET"", ""INSTAGRAM_REDIRECT_URI""]",,,"[""instagram_business_manage_insights""]",insights_metric,True,True,accounts_engaged_total,daily_accounts_engaged,main_engagement_slide,True,Do not mark available until a real IG audit succeeds.
instagram_business,,,instagram_account,missing,False,False,0,[],[],insights_metric,total_interactions,total_interactions,Total Interactions,Interacciones totales,engagement,pending_config,,config_missing,,,"Missing configuration for instagram_business: INSTAGRAM_APP_ID, INSTAGRAM_APP_SECRET, INSTAGRAM_REDIRECT_URI.","[""INSTAGRAM_APP_ID"", ""INSTAGRAM_APP_SECRET"", ""INSTAGRAM_REDIRECT_URI""]",,,"[""instagram_business_manage_insights""]",insights_metric,True,True,total_interactions_total,daily_total_interactions,main_engagement_slide,False,Pending live Instagram audit.
instagram_business,,,instagram_account,missing,False,False,0,[],[],insights_metric,likes,likes,Likes,Me gusta,engagement,pending_permission,,config_missing,,,"Missing configuration for instagram_business: INSTAGRAM_APP_ID, INSTAGRAM_APP_SECRET, INSTAGRAM_REDIRECT_URI.","[""INSTAGRAM_APP_ID"", ""INSTAGRAM_APP_SECRET"", ""INSTAGRAM_REDIRECT_URI""]",,,"[""instagram_business_manage_insights""]",insights_metric,True,False,likes_total,,summary_secondary_metric,False,Pending confirmation from live API audit.
instagram_business,,,instagram_account,missing,False,False,0,[],[],insights_metric,comments,comments,Comments,Comentarios,engagement,pending_permission,,config_missing,,,"Missing configuration for instagram_business: INSTAGRAM_APP_ID, INSTAGRAM_APP_SECRET, INSTAGRAM_REDIRECT_URI.","[""INSTAGRAM_APP_ID"", ""INSTAGRAM_APP_SECRET"", ""INSTAGRAM_REDIRECT_URI""]",,,"[""instagram_business_manage_insights""]",insights_metric,True,False,comments_total,,summary_secondary_metric,False,Pending confirmation from live API audit.
instagram_business,,,instagram_account,missing,False,False,0,[],[],insights_metric,shares,shares,Shares,Compartidos,engagement,pending_permission,,config_missing,,,"Missing configuration for instagram_business: INSTAGRAM_APP_ID, INSTAGRAM_APP_SECRET, INSTAGRAM_REDIRECT_URI.","[""INSTAGRAM_APP_ID"", ""INSTAGRAM_APP_SECRET"", ""INSTAGRAM_REDIRECT_URI""]",,,"[""instagram_business_manage_insights""]",insights_metric,True,False,shares_total,,summary_secondary_metric,False,Pending confirmation from live API audit.
instagram_business,,,instagram_account,missing,False,False,0,[],[],insights_metric,saves,saves,Saves,Guardados,engagement,pending_permission,,config_missing,,,"Missing configuration for instagram_business: INSTAGRAM_APP_ID, INSTAGRAM_APP_SECRET, INSTAGRAM_REDIRECT_URI.","[""INSTAGRAM_APP_ID"", ""INSTAGRAM_APP_SECRET"", ""INSTAGRAM_REDIRECT_URI""]",,,"[""instagram_business_manage_insights""]",insights_metric,True,False,saves_total,,summary_secondary_metric,False,Pending confirmation from live API audit.
instagram_business,,,instagram_account,missing,False,False,0,[],[],insights_metric,replies,replies,Replies,Respuestas,engagement,pending_permission,,config_missing,,,"Missing configuration for instagram_business: INSTAGRAM_APP_ID, INSTAGRAM_APP_SECRET, INSTAGRAM_REDIRECT_URI.","[""INSTAGRAM_APP_ID"", ""INSTAGRAM_APP_SECRET"", ""INSTAGRAM_REDIRECT_URI""]",,,"[""instagram_business_manage_insights""]",insights_metric,True,False,replies_total,,summary_secondary_metric,False,Pending confirmation from live API audit.
instagram_business,,,instagram_account,missing,False,False,0,[],[],insights_metric,profile_views,profile_views,Profile Views,Visitas al perfil,traffic,pending_config,,config_missing,,,"Missing configuration for instagram_business: INSTAGRAM_APP_ID, INSTAGRAM_APP_SECRET, INSTAGRAM_REDIRECT_URI.","[""INSTAGRAM_APP_ID"", ""INSTAGRAM_APP_SECRET"", ""INSTAGRAM_REDIRECT_URI""]",,,"[""instagram_business_manage_insights""]",insights_metric,True,True,profile_views_total,daily_profile_views,summary_traffic_metric,False,Pending live Instagram audit.
instagram_business,,,instagram_account,missing,False,False,0,[],[],insights_metric,profile_actions,profile_actions,Profile Actions,Acciones del perfil,traffic,pending_permission,,config_missing,,,"Missing configuration for instagram_business: INSTAGRAM_APP_ID, INSTAGRAM_APP_SECRET, INSTAGRAM_REDIRECT_URI.","[""INSTAGRAM_APP_ID"", ""INSTAGRAM_APP_SECRET"", ""INSTAGRAM_REDIRECT_URI""]",,,"[""instagram_business_manage_insights""]",insights_metric,True,False,profile_actions_total,,summary_traffic_metric,False,Covers website clicks or similar profile actions when available.
instagram_business,,,instagram_account,missing,False,False,0,[],[],graph_field,followers_count,instagram_followers,Followers,Seguidores,audience,pending_config,,config_missing,,,"Missing configuration for instagram_business: INSTAGRAM_APP_ID, INSTAGRAM_APP_SECRET, INSTAGRAM_REDIRECT_URI.","[""INSTAGRAM_APP_ID"", ""INSTAGRAM_APP_SECRET"", ""INSTAGRAM_REDIRECT_URI""]",,,"[""instagram_business_basic""]",graph_field,True,False,instagram_followers_total,,summary_audience_metric,False,Pending confirmation from live Instagram Business Login audit.
meta_ads,2,meta_ads,,connected,True,True,0,[],[],ads_insights_field,spend,spend,Spend,Inversión,paid_media,pending_config,,no_assets,,,No authorized assets were found for meta_ads.,[],,,"[""ads_read""]",ads_insights_field,True,True,spend_total,daily_spend,main_paid_media_slide,True,Core paid media cost metric.
meta_ads,2,meta_ads,,connected,True,True,0,[],[],ads_insights_field,impressions,paid_impressions,Paid Impressions,Impresiones pagadas,paid_media,pending_config,,no_assets,,,No authorized assets were found for meta_ads.,[],,,"[""ads_read""]",ads_insights_field,True,True,paid_impressions_total,daily_paid_impressions,main_paid_media_slide,True,Keep namespaced under Meta Ads only.
meta_ads,2,meta_ads,,connected,True,True,0,[],[],ads_insights_field,reach,paid_reach,Paid Reach,Alcance pagado,paid_media,pending_config,,no_assets,,,No authorized assets were found for meta_ads.,[],,,"[""ads_read""]",ads_insights_field,True,True,paid_reach_total,daily_paid_reach,main_paid_media_slide,False,Do not mix with organic or Facebook Pages reach.
meta_ads,2,meta_ads,,connected,True,True,0,[],[],ads_insights_field,clicks,clicks,Clicks,Clics,paid_media,pending_config,,no_assets,,,No authorized assets were found for meta_ads.,[],,,"[""ads_read""]",ads_insights_field,True,True,clicks_total,daily_clicks,main_paid_media_slide,False,Core paid traffic metric.
meta_ads,2,meta_ads,,connected,True,True,0,[],[],ads_insights_field,inline_link_clicks,link_clicks,Link Clicks,Clics en enlace,paid_media,pending_config,,no_assets,,,No authorized assets were found for meta_ads.,[],,,"[""ads_read""]",ads_insights_field,True,True,link_clicks_total,daily_link_clicks,main_paid_media_slide,False,Use separately from generic clicks.
meta_ads,2,meta_ads,,connected,True,True,0,[],[],ads_insights_field,ctr,ctr,CTR,CTR,paid_media,pending_config,,no_assets,,,No authorized assets were found for meta_ads.,[],,,"[""ads_read""]",ads_insights_field,True,True,ctr,daily_ctr,summary_secondary_metric,False,Derived or direct ads field depending on API response.
meta_ads,2,meta_ads,,connected,True,True,0,[],[],ads_insights_field,cpc,cpc,CPC,CPC,paid_media,pending_config,,no_assets,,,No authorized assets were found for meta_ads.,[],,,"[""ads_read""]",ads_insights_field,True,True,cpc,daily_cpc,summary_secondary_metric,False,Use only within Meta Ads namespace.
meta_ads,2,meta_ads,,connected,True,True,0,[],[],ads_insights_field,cpm,cpm,CPM,CPM,paid_media,pending_config,,no_assets,,,No authorized assets were found for meta_ads.,[],,,"[""ads_read""]",ads_insights_field,True,True,cpm,daily_cpm,summary_secondary_metric,False,Use only within Meta Ads namespace.
meta_ads,2,meta_ads,,connected,True,True,0,[],[],ads_insights_field,actions,results,Results,Resultados,paid_media,pending_config,,no_assets,,,No authorized assets were found for meta_ads.,[],,,"[""ads_read""]",ads_insights_field,True,True,results_total,daily_results,main_paid_media_slide,False,Interpret according to primary action type.
meta_ads,2,meta_ads,,connected,True,True,0,[],[],ads_insights_field,cost_per_action_type,cost_per_result,Cost per Result,Costo por resultado,paid_media,pending_config,,no_assets,,,No authorized assets were found for meta_ads.,[],,,"[""ads_read""]",ads_insights_field,True,True,cost_per_result,daily_cost_per_result,summary_secondary_metric,False,Interpret according to primary action type.
meta_ads,2,meta_ads,,connected,True,True,0,[],[],ads_insights_field,purchase_roas,roas,ROAS,ROAS,paid_media,pending_permission,,no_assets,,,No authorized assets were found for meta_ads.,[],,,"[""ads_read""]",ads_insights_field,True,True,roas,daily_roas,summary_secondary_metric,False,Only mark available when the account returns purchase ROAS.
meta_ads,2,meta_ads,,connected,True,True,0,[],[],ads_insights_field,campaign_name,campaign_name,Campaign Name,Nombre de campaña,paid_media,pending_config,,no_assets,,,No authorized assets were found for meta_ads.,[],,,"[""ads_read""]",ads_insights_field,False,False,,,dimension,False,Technical dimension for narratives and breakdowns.
meta_ads,2,meta_ads,,connected,True,True,0,[],[],ads_insights_field,adset_name,adset_name,Ad Set Name,Nombre de conjunto,paid_media,pending_config,,no_assets,,,No authorized assets were found for meta_ads.,[],,,"[""ads_read""]",ads_insights_field,False,False,,,dimension,False,Technical dimension for narratives and breakdowns.
meta_ads,2,meta_ads,,connected,True,True,0,[],[],ads_insights_field,ad_name,ad_name,Ad Name,Nombre del anuncio,paid_media,pending_config,,no_assets,,,No authorized assets were found for meta_ads.,[],,,"[""ads_read""]",ads_insights_field,False,False,,,dimension,False,Technical dimension for narratives and breakdowns.
meta_ads,2,meta_ads,,connected,True,True,0,[],[],ads_insights_field,campaign_id,campaign_id,Campaign ID,ID de campaña,paid_media,pending_config,,no_assets,,,No authorized assets were found for meta_ads.,[],,,"[""ads_read""]",ads_insights_field,False,False,,,dimension,False,Technical dimension.
meta_ads,2,meta_ads,,connected,True,True,0,[],[],ads_insights_field,adset_id,adset_id,Ad Set ID,ID de conjunto,paid_media,pending_config,,no_assets,,,No authorized assets were found for meta_ads.,[],,,"[""ads_read""]",ads_insights_field,False,False,,,dimension,False,Technical dimension.
meta_ads,2,meta_ads,,connected,True,True,0,[],[],ads_insights_field,ad_id,ad_id,Ad ID,ID del anuncio,paid_media,pending_config,,no_assets,,,No authorized assets were found for meta_ads.,[],,,"[""ads_read""]",ads_insights_field,False,False,,,dimension,False,Technical dimension.
